tweet_id,Tweet,class
neu-GG-Tweet-9922,wish everyon understood concept bath wear clean cloth,0
neu-GG-Tweet-10447,miss first class well I am go lol much stuff I am realli scard grade,0
neu-GG-Tweet-6369,is ur host I am get nothin,1
neu-GG-Tweet-7350,yuck earliest I have awhil not fun,1
neu-GG-Tweet-6927,oh noooo hope you are ok eat lt,0
pos-MG-11325,haha ye agre good get word news forum howev,0
neu-GG-Tweet-9828,nahhhh mcdonald kamilah see lovehandl creep backomg look thigh,1
pos-MG-11251,eeek good luck,0
pos-MG-12429,cool sometim watch,0
neu-570021376024813000,whatâ€™ deal do provid voucher overnight cozi floor ohar gro,1
pos-MG-11069,love sunni see window new build glad thought put glass time,0
pos-MG-9979,enjoy that is I am enjoy httpblipfmp,0
pos-MG-12685,oh quoti need lot garlic sauc dumpl I am conduct tomorrowquot,0
neu-GG-Tweet-8428,man I am tire funni needwant sleep eye do not want close,1
pos-MG-11144,good you deserv,0
neu-570246094157946000,do love you will never work day life ðÿ˜š,0
pos-MG-11013,lol fck yeah,0
pos-MG-13803,alysia birthday monday guess sinc she is best friend better someth brunch cours sunday,0
pos-MG-9530,sorri took long repli phone got disconnect ha yeah want go ny studi nyu mayb next year,1
neu-GG-Tweet-10619,happi today,1
pos-MG-10041,happi birthday love may dream continu find may happi joy love follow alway,0
pos-MG-11372,hate seb,1
neu-GG-Tweet-6332,set twitter profil one colleagu notic he got much swish sidebar get,0
neu-GG-Tweet-10394,sick home the worst part can not even play guitar hero world tour my life suck,1
neu-569529128585555000,not blame jet blue thi wa not weather can not plane air runway mess that,1
pos-MG-11986,anoth subject,1
pos-MG-9589,happi new friend,0
neu-GG-Tweet-8784,could not le prepar am financ exam and can not seem make anyth,1
pos-MG-12100,thank lisa btw great thing today dog goodnight,0
neu-GG-Tweet-11923,and gone can not find it probabl prepar attack least expect,1
pos-MG-12566,girl spent mani hour watch rerun em she is trashi keep amaz,0
neu-GG-Tweet-7560,did not realis still itun credit but think she will get troubl download stuff,1
neu-GG-Tweet-10356,class til work til tomorrow long day,1
pos-MG-12422,hey missi long time tweet nah wa not due hand stab wound that bad lol,1
neu-569687244031852000,bummer but understand busi deal thank answer much le sad,1
neu-GG-Tweet-11235,excus,1
pos-MG-11258,awesom idea lol that is okay,0
neu-GG-Tweet-8281,php play yet $ showform come work littl,1
neu-GG-Tweet-9179,say pauwag ka na sad plea httpplurkcompnzkg,1
pos-MG-12589,saw promo melros place it look good look forward watch,0
neu-GG-Tweet-8320,httptwitpiccomyafi keep lose count ill guess about xx,1
neu-GG-Tweet-11171,amaz bonehead sometim need start pay attent think,0
pos-MG-13291,look forward long weekend,1
neu-GG-Tweet-11924,sunburn suck got blister long ago tan bed pain learnt lesson,1
pos-MG-11939,feel realli happi,0
neu-GG-Tweet-8900,my laptop broken tweet but holiday woohoo,1
neu-GG-Tweet-9884,wow that is custom servic I have tri post photo none appear twitpic do not know,1
pos-MG-11412,goodnight day tweepl I am enjoy tweet dream,0
neu-568531043805999000,becam best friend bcuz way,0
neu-569541106112827000,also southwest special like one run,1
pos-MG-13734,ta on trail type chang doe mean ani chang reason specif particular natur,1
neu-GG-Tweet-11596,leakag huh I am afraid miss someth good but head hurt bad care bummer,1
pos-MG-10406,yep are not day end are not troubl,1
pos-MG-12463,lol thank sign throw pic,0
neu-GG-Tweet-7381,tri hard resist eat kid easter egg,1
neu-GG-Tweet-7504,yay love weather outsid dude I am pretti happi unlucki time whatev,0
neu-569977974176378000,onfleek whi whi ðÿ˜­ðÿ˜ðÿ˜†ðÿ˜µ how mani peopl even know mean,0
neu-GG-Tweet-7542,do not want to look like clown lol do not yellow,0
neu-GG-Tweet-10681,can not believ still wait damn deliveri it clearli come today,1
neu-569519571314589000,bag still fli free start charg thank,0
pos-MG-10170,fricken amaz night love life miss roger,0
neu-GG-Tweet-10956,sick can not wait go back room sleeeeep,1
neu-GG-Tweet-11735,these peopl crazi it like alway watch mewait next mistak they alreadi attack multipl time tonight,1
pos-MG-12529,good news wrote httpbitlyvox,0
neu-GG-Tweet-11940,oh realli what bummer,1
pos-MG-9848,are follow lol I am never quieta matter facti may twitddict,0
neu-GG-Tweet-7054,aww break heart,0
neu-GG-Tweet-6660,would realli love go holidaybut go to happen,0
neu-569232748663214000,cancel flightl flight pm today due winter storm travel,1
neu-GG-Tweet-11325,you ru are not even work offic anymor still get sick feel better,1
pos-MG-10105,it strang ppl do not shake milk,1
pos-MG-13751,followfriday my girl alway make time repli love ya,0
pos-MG-10722,love love actual,0
neu-GG-Tweet-10250,watch eastend reveal eat chicken noodl soup go get upset daniel amp ronni,1
neu-GG-Tweet-9167,I have spider cruel boot nice,1
neu-GG-Tweet-9026,would like gotten sleep last night,0
pos-MG-10114,I am catch train perth place como bu scotsman will,0
neu-GG-Tweet-8257,violenc bloodbath landgericht landshut germani longer safe,0
neu-568945265899483000,grand budapest hotel oscarscountdown,0
neu-GG-Tweet-9013,ha good one the snow miss u complet,0
neu-GG-Tweet-7996,sun given terribl headach,1
pos-MG-10630,love send postcard send crazi postcard postcross friend httpisgdugvc,1
pos-MG-9413,my mom would not buy becaus expens beg month final grandmoth sneakili got pair,1
pos-MG-13457,veri nice write song someon el darren start,0
pos-MG-10740,safe trip,0
neu-GG-Tweet-11009,sick work took monday go to take tomorrow,1
pos-MG-13307,nice work,0
neu-GG-Tweet-6460,readi for friday ted go brave amp stock ricola cough drop amp dayquil bc cold constant weather chang,1
neu-GG-Tweet-7128,there tame pigeon sleep bbq outsid near doorway hous keep return everyday do not want ever,1
neu-569896025172742000,scott need good book suggest,0
neu-GG-Tweet-10469,at work againit go gorgeou outsid insid,0
neu-569684137755459000,long take rapid reward point credit account,1
pos-MG-12576,oh that is great can not wait see,0
neu-GG-Tweet-8098,it will sad day endemol,1
neu-GG-Tweet-6402,the muppet whatnot workshop site temporarili appar total sold quotwork hard get back asapquot hurri you all,1
neu-GG-Tweet-9389,it should not take long get feck heathrow left home,1
neu-GG-Tweet-10151,still ef pink eye actual think wors today math class skip observ thi make sad,1
pos-MG-13104,love curl,0
neu-GG-Tweet-8014,car got broken last night feel violat,1
pos-MG-10901,is veryyi happyy dd love,0
pos-MG-9128,know you never go wrong harri potter,1
neu-568502870435336000,announc nonstop flight dalla columbu well next time best you will,0
neu-GG-Tweet-6727,well problem rain come extrem cold,1
neu-GG-Tweet-6069,httptwitpiccomv love mountain live belgium,0
neu-GG-Tweet-11742,went kid go watch way better thought would alexi threw fit did not get finish,0
pos-MG-10320,love earli make feel product hate cold urgh,1
neu-GG-Tweet-10214,sick giant account test,1
pos-MG-9818,get excit move idaho look like great amateur astronomi club belli danc group area,0
neu-GG-Tweet-7368,sigh anoth day anoth pile excit research trawl more tomorrow,0
neu-GG-Tweet-10324,I am sri miss ihop my nose kept bleed profus no fun,1
neu-568534166742003000,just got interrog unit club chicago unitedairlin rude poorform,1
neu-GG-Tweet-9047,photo field trip today wish wa not cold,1
pos-MG-10595,that good concert intens,0
neu-569164871465439000,dad book orbitz due weather can not make airport can help,1
pos-MG-13398,mmm love smell friday morn,0
neu-GG-Tweet-7425,pine imap slow gmail inbox get close time time big hassl,1
pos-MG-9758,what guy know loteria lol blast play fam,0
neu-GG-Tweet-8369,brrrr head work chilli today,1
pos-MG-10193,night gen sweet dream hood grew duggan nd hood lmao,0
pos-MG-12074,flyladi ye nice see saw good time friend hr lot gossip lol,0
