tweet_id,SourceDataBase,OS,Tweet-Class_category-Code,Tweet_source,Tweeted-By,retweet_count,Tweet,Country,class
neu-GG-Tweet-11945,MySQL,Windows,99,OTHER,P32013,0,Just landed. My ears hurt ,Canada,2
neu-GG-Tweet-11944,MySQL,Windows,99,OTHER,P32012,0,ouch following the #ASOT400 in TweetDeck exceeded my Tweet limit! ,Canada,2
neu-GG-Tweet-11943,MySQL,Windows,99,OTHER,P32011,0,@Nessiebear i really wanna see it! but no one would go with me  lmfao.,Canada,2
neu-GG-Tweet-11942,MySQL,Windows,99,OTHER,P32010,0,"@TessAaaaah Ahh, this is how you reply!! I had all these random followers and now I don't  How sad haha.",Canada,2
neu-GG-Tweet-11941,MySQL,Windows,99,OTHER,P32009,0,@chenez awwww. and i didn't get to be the hero.... ,Canada,2
neu-569261128532041000,Orcale12c,UNIX,99,S6,P203,0, nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow! Just sent you a DM to ,USA,2
neu-GG-Tweet-11940,MySQL,Windows,99,OTHER,P32008,0,@lisasamples oh no really? What a bummer. ,Canada,2
neu-GG-Tweet-11939,MySQL,Windows,99,OTHER,P32007,0,@Jestess65 I wish I had the day off. Some people have all the luck.  ,Canada,2
neu-GG-Tweet-11938,MySQL,Windows,99,OTHER,P32006,0,15 minutes and the parkade traffic still not moving. ,Canada,2
neu-GG-Tweet-11937,MySQL,Windows,99,OTHER,P32005,0,"@JonnyPaula WTF? Why'd they flag it? Oops, and my shitty mouse just click 1-star ",Canada,2
neu-569248437050302000,Orcale12c,UNIX,99,S6,P208,0, can you please get me to the new york area before monday afternoon,USA,2
neu-GG-Tweet-11936,MySQL,Windows,99,OTHER,P32004,0,One final done...just two more to go  ,Canada,2
neu-GG-Tweet-11935,MySQL,Windows,99,OTHER,P32003,0,Everyone's gone ,Canada,2
neu-GG-Tweet-11934,MySQL,Windows,99,OTHER,P32002,0,is nursing one very sore back ,Canada,2
neu-GG-Tweet-11933,MySQL,Windows,99,OTHER,P32001,0,i don't think my dog likes #dubstep either  #howling,Canada,2
neu-GG-Tweet-11932,MySQL,Windows,99,OTHER,P32000,0,Only 2.5 shots of cuervo left in the bottle ,Canada,2
neu-GG-Tweet-11930,MySQL,Windows,99,OTHER,P31998,0,@georgeb3dr Stick with the Intel drives or the other ones given decent reviews on Anand or you will be sorry. I've seen so many bad SSDs ,Canada,2
neu-569236471690829000,Orcale12c,UNIX,99,S6,P216,0," on iPad and iPhone, clicking the CHECKIN link in the email I received at 24hrs before flight",USA,2
neu-GG-Tweet-11929,MySQL,Windows,99,OTHER,P31997,0,"changed my wallpaper to zac, wtcc, and others. Yup, i've been sucked into the holee of tweens.. its too late.. i cant back out now  ahaha",Canada,2
neu-GG-Tweet-11928,MySQL,Windows,99,OTHER,P31996,0,is saying goodbye to her momma for 4 months..  ,Canada,2
neu-GG-Tweet-11927,MySQL,Windows,99,OTHER,P31995,0,Excited for the Future Leader Class of 2010! (http://mbcfutureleaders.com) but sad that I've only got two months in the program left! ,Canada,2
neu-GG-Tweet-11926,MySQL,Windows,99,OTHER,P31994,0,@echopetal hey jason switched my schedule so i have to close tomorrow night.  Still up to do something just after 11.  Sorry ,Canada,2
neu-GG-Tweet-11925,MySQL,Windows,99,S1,P31993,0,Laying in bed. Carnival ride hurt me ,Canada,2
neu-GG-Tweet-11924,MySQL,Windows,99,S1,P31992,0,"@KimKardashian being sunburned sucks, I got blisters not long ago from a tanning bed, it was very painful, learnt my lesson ",Canada,2
neu-GG-Tweet-11923,MySQL,Windows,99,S1,P31991,0,...And now it's gone!  I can't find it. It's probably preparing to attack when I least expect it. ,Canada,2
neu-GG-Tweet-11922,MySQL,Windows,99,S1,P31990,0,car is all cleaned out now and awaiting it's pending doom sometime next week perhaps ,Canada,2
neu-GG-Tweet-11921,MySQL,Windows,99,S1,P31989,0,No working in the garden. I have chills and a fever. The dreaded cold is back . Booo ,Canada,2
neu-569220232293720000,Orcale12c,UNIX,99,S6,P226,0," itâ€™s just a bug report, guys",USA,2
neu-GG-Tweet-11920,MySQL,Windows,99,S1,P31988,0,@acenadren haha. You wouldn't because you're wearing them ,Canada,2
neu-GG-Tweet-11919,MySQL,Windows,99,S1,P31987,0,@AshleaRose I won't be  I am very le sad.,Canada,2
neu-GG-Tweet-11918,MySQL,Windows,99,S1,P31986,0,"don't any of my friends want to go snowboarding lately?  oh wait, they're all out west now.  wish i had snowboard friends in Rochester ",Canada,2
neu-GG-Tweet-11917,MySQL,Windows,99,S1,P31985,0,@iamdiddy U sound like me just b4 I hit 1.5 hrs. Sadly today I was outlasted by a woman who was clearly 70! No jokes!   She's a machine!,Canada,2
neu-GG-Tweet-11916,MySQL,Windows,99,S1,P31984,0,@Wolfie1800 nobody is posting. ironically the second i hit send somebody posted ,Canada,2
neu-GG-Tweet-11915,MySQL,Windows,99,S1,P31983,0,I should pay my dues ,Canada,2
neu-GG-Tweet-11914,MySQL,Windows,99,S1,P31982,0,@RAYRAY_SODMG i wanna make my video. it costs 3 hundred something dollars to get my laptop fixed ,Canada,2
neu-GG-Tweet-11913,MySQL,Windows,99,S1,P31981,0,sunburnt from lying out in the sun all day   undeterred from continuing to lie in the sun tomorrow,Canada,2
neu-GG-Tweet-11912,MySQL,Windows,99,S1,P31980,0,"@happeedeb roasted peeps! why didn't i think of that?! aww, man. i haz no more peeps. ",Canada,2
neu-GG-Tweet-11911,MySQL,Windows,99,S1,P31979,0,Laundry. Lonely. Very bruised up from My drunken week. In a gloomy mood. ,Canada,2
neu-GG-Tweet-11910,MySQL,Windows,99,S1,P31978,0,Just got twitter and has no clue how to use this thing ,Canada,2
neu-GG-Tweet-11909,MySQL,Windows,99,S1,P31977,0,"@iamjonathancook thanks, now that's going to be in my head all night. i'm upset you never gave me my other wishes yet, ",Canada,2
neu-GG-Tweet-11908,MySQL,Windows,99,S1,P31976,0,@sookiebontemps i hope you feel better ,Canada,2
neu-GG-Tweet-11907,MySQL,Windows,99,S1,P31975,0,Bored on a Friday night ,Canada,2
neu-569197611393163000,Orcale12c,UNIX,99,S6,P241,0, any updates on flight 413 from Jfk &gt; Lax,USA,2
neu-569197515993534000,Orcale12c,UNIX,99,S6,P242,0, spruce moose!,USA,2
neu-GG-Tweet-11906,MySQL,Windows,99,S1,P31974,0,Freakin' crap! I just bit my tongue on accident. ,Canada,2
neu-GG-Tweet-11905,MySQL,Windows,99,S1,P31973,0,but it walked on my pillow ,Canada,2
neu-GG-Tweet-11904,MySQL,Windows,99,S1,P31972,0,They put my dog to sleep  after like 15 years of tripping over her every time i come home its kinda weird not seeing her here.,Canada,2
neu-GG-Tweet-11903,MySQL,Windows,99,S1,P31971,0,"im lonely  keep me company! 22 female, Fort Myers - Florida",Canada,2
neu-GG-Tweet-11902,MySQL,Windows,99,S1,P31970,0,"im lonely  keep me company! 22 female, Amarillo - Texas",Canada,2
neu-GG-Tweet-11901,MySQL,Windows,99,S1,P31969,0,"Ads on twitter - y ruin a good thing   Google chief sings Twitter's praises, open to ad deal http://sbne.ws/r/1Lr",Canada,2
neu-GG-Tweet-11900,MySQL,Windows,99,S1,P31968,0,dang i have work in the morning ,Canada,2
neu-GG-Tweet-11899,MySQL,Windows,99,S1,P31967,0,I wish I was sitting on a beach but its storming here!!  ,Canada,2
