tweet_id,Tweet,class
neu-GG-Tweet-11945,just land my ear hurt,2
neu-GG-Tweet-11944,ouch follow asot tweetdeck exceed tweet limit,2
neu-GG-Tweet-11942,ahh repli random follow do not how sad haha,1
neu-GG-Tweet-11941,awwww did not get hero,0
neu-569261128532041000,nervou flight dc lax get cancel flightl tomorrow just sent dm,2
neu-GG-Tweet-11940,oh realli what bummer,1
neu-GG-Tweet-11939,wish day some peopl luck,2
neu-GG-Tweet-11938,minut parkad traffic still move,2
neu-GG-Tweet-11937,wtf whyd flag oop shitti mous click star,1
neu-GG-Tweet-11935,everyon gone,2
neu-GG-Tweet-11933,do not think dog like dubstep either howl,2
neu-GG-Tweet-11932,onli shot cuervo left bottl,2
neu-GG-Tweet-11930,stick intel drive one given decent review anand sorri I have seen mani bad ssd,1
neu-569236471690829000,ipad iphon click checkin link email receiv hr flight,2
neu-GG-Tweet-11929,chang wallpap zac wtcc other yup I have suck hole tween late can not back ahaha,1
neu-GG-Tweet-11928,say goodby momma month,2
neu-GG-Tweet-11927,excit futur leader class httpmbcfutureleaderscom sad I have got two month program left,1
neu-GG-Tweet-11926,hey jason switch schedul close tomorrow night still someth sorri,1
neu-GG-Tweet-11925,lay bed carniv ride hurt,2
neu-GG-Tweet-11924,sunburn suck got blister long ago tan bed pain learnt lesson,1
neu-GG-Tweet-11923,and gone can not find it probabl prepar attack least expect,1
neu-GG-Tweet-11922,car clean await pend doom sometim next week perhap,2
neu-GG-Tweet-11921,no work garden chill fever the dread cold back booo,1
neu-569220232293720000,itâ€™ bug report guy,2
neu-GG-Tweet-11919,will not le sad,1
neu-GG-Tweet-11918,do not friend want go snowboard late oh wait they are west wish snowboard friend rochest,1
neu-GG-Tweet-11917,sound like hit hr sadli today outlast woman clearli no joke she is machin,1
neu-GG-Tweet-11916,nobodi post iron second hit send somebodi post,2
neu-GG-Tweet-11915,pay due,2
neu-GG-Tweet-11913,sunburnt lie sun day undet continu lie sun tomorrow,2
neu-GG-Tweet-11910,just got twitter clue use thing,2
